rank,model_id,model_name,avg_agentic_coding_score,benchmark_coverage,swe_bench_verified_pct,livecodebench_pct,swerebench_pct,arena_elo_coding,arena_elo
1,gemini-3-flash-preview-thinking,Gemini 3 Flash Thinking,90.80000000000003,1,,90.8,,,
2,deepseek-v3-2-speciale,DeepSeek-V3.2-Speciale,89.59999999999997,1,,89.6,,,
3,gpt-5-2-pro,OpenAI: GPT-5.2 Pro,88.89999999999999,1,,88.9,,,
4,xiaomi-mimo-v2-flash-thinking,MiMo V2 Flash (Thinking),86.80000000000001,1,,86.8,,,
5,gpt-5-codex,OpenAI: GPT-5 Codex,83.99999999999999,1,,84.0,,,
6,gpt-5-1-codex-mini,OpenAI: GPT-5.1-Codex-Mini,83.6,1,,83.6,,,
7,grok-4-fast-reasoning,Grok-4-Fast-Reasoning,83.19999999999999,1,,83.2,,,
8,grok-4-1-fast-reasoning,Grok-4.1-Fast-Reasoning,82.20000000000003,1,,82.2,,,
9,gemini-3-flash,Gemini 3 Flash,81.88283262698005,3,75.8,90.8,,1469.0,1470.0
10,grok-4,Grok-4,81.73156630654313,2,,81.9,,1453.0,1442.0
11,deepseek-deepseek-v3-1-terminus-thinking,DeepSeek/DeepSeek-V3.1-Terminus-Thinking,79.80000000000001,1,,79.8,,,
12,gemini-3-pro,Gemini 3 Pro,79.79591873850133,3,69.6,91.7,,1501.0,1492.0
13,qwen3-235b-a22b-thinking-2507,Qwen3-235B-A22B-Thinking,78.96242249753382,2,,78.8,,1442.0,1416.0
14,deepseek-ai-deepseek-v3-2-exp-thinking,DeepSeek V3.2 Exp Thinking,78.90000000000002,1,,78.9,,,
15,deepseek-v3-2-thinking,DeepSeek-V3.2-Thinking,78.33463200925227,2,,78.4,,1437.0,1418.0
16,gemini-2-5-pro-preview-06-05,Gemini 2.5 Pro Preview 06-05,77.80000000000003,1,,77.8,,,
17,claude-sonnet-4-6,Anthropic: Claude Sonnet 4.6,77.2738795516267,2,72.7,,,1500.0,1446.0
18,gemini-2-5-pro-preview-05-06,Google: Gemini 2.5 Pro Preview 05-06,77.00000000000001,1,,77.0,,,
19,kat-coder-pro-v1,KAT Coder Pro V1,74.69999999999999,1,,74.7,,,
20,claude-4-5-opus,Claude 4.5 Opus,74.40000000000003,1,74.4,,,,
21,claude-opus-4-1-thinking,Claude 4.1 Opus Thinking,73.79840021023125,2,,61.5,,1545.0,1503.0
22,intellect-3,INTELLECT 3,73.05718182341391,2,,77.7,,1376.0,1355.0
23,gpt-oss-20b,OpenAI: gpt-oss-20b (free),72.63625756508249,2,,77.7,,1371.0,1315.0
24,claude-opus-4-6,Anthropic: Claude Opus 4.6,71.95152795137273,3,75.6,,51.7,1535.0,1490.0
25,qwen3-max,Qwen3-Max,71.78153608934987,2,,65.1,,1468.0,1443.0
26,gpt-5-2,OpenAI: GPT-5.2,70.88386541450528,3,69.0,66.9,,1465.0,1464.0
