rank,model_id,provider_name,provider_model_id,provider_score,avg_tps,avg_ttft_ms,input_cost_per_token,output_cost_per_token,is_free_tier,free_tier_quality,avg_agentic_coding_score
1,gemini-3-flash-preview-thinking,nano-gpt,google/gemini-3-flash-preview-thinking,90.80000000000003,,,5e-07,3e-06,0,,90.80000000000003
2,deepseek-v3-2-speciale,azure-cognitive-services,deepseek-v3.2-speciale,89.59999999999997,,,5.8e-07,1.68e-06,0,,89.59999999999997
3,deepseek-v3-2-speciale,azure,deepseek-v3.2-speciale,89.59999999999997,,,5.8e-07,1.68e-06,0,,89.59999999999997
4,gpt-5-2-pro,azure,azure/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
5,gpt-5-2-pro,openai,gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
6,gpt-5-2-pro,openrouter,openai/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
7,gpt-5-2-pro,zenmux,openai/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
8,gpt-5-2-pro,poe,openai/gpt-5.2-pro,88.89999999999999,,,1.9e-05,0.00015,0,,88.89999999999999
9,gpt-5-2-pro,requesty,openai/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
10,gpt-5-2-pro,vercel,openai/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
11,gpt-5-2-pro,jiekou,gpt-5.2-pro,88.89999999999999,,,1.89e-05,0.0001512,0,,88.89999999999999
12,gpt-5-2-pro,kilo,openai/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
13,gpt-5-2-pro,nano-gpt,openai/gpt-5.2-pro,88.89999999999999,,,2.1e-05,0.000168,0,,88.89999999999999
14,xiaomi-mimo-v2-flash-thinking,nano-gpt,xiaomi/mimo-v2-flash-thinking,86.80000000000001,,,1.0199999999999999e-07,3.06e-07,0,,86.80000000000001
15,gpt-5-codex,azure,azure/gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
16,gpt-5-codex,openai,gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
17,gpt-5-codex,openrouter,openai/gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
18,gpt-5-codex,zenmux,openai/gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
19,gpt-5-codex,opencode,gpt-5-codex,83.99999999999999,,,1.0700000000000001e-06,8.5e-06,0,,83.99999999999999
20,gpt-5-codex,poe,openai/gpt-5-codex,83.99999999999999,,,1.1e-06,9e-06,0,,83.99999999999999
21,gpt-5-codex,azure-cognitive-services,gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
22,gpt-5-codex,aihubmix,gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
23,gpt-5-codex,abacus,gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
24,gpt-5-codex,requesty,openai/gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
25,gpt-5-codex,helicone,gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
26,gpt-5-codex,vercel,openai/gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
27,gpt-5-codex,jiekou,gpt-5-codex,83.99999999999999,,,1.125e-06,9e-06,0,,83.99999999999999
28,gpt-5-codex,kilo,openai/gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
29,gpt-5-codex,nano-gpt,openai/gpt-5-codex,83.99999999999999,,,9.996e-06,1.9992e-05,0,,83.99999999999999
30,gpt-5-codex,azure,gpt-5-codex,83.99999999999999,,,1.25e-06,1e-05,0,,83.99999999999999
31,gpt-5-1-codex-mini,azure,azure/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
32,gpt-5-1-codex-mini,openai,gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
33,gpt-5-1-codex-mini,openrouter,openai/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
34,gpt-5-1-codex-mini,zenmux,openai/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
35,gpt-5-1-codex-mini,opencode,gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
36,gpt-5-1-codex-mini,poe,openai/gpt-5.1-codex-mini,83.6,,,2.2e-07,1.8000000000000001e-06,0,,83.6
37,gpt-5-1-codex-mini,azure-cognitive-services,gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
38,gpt-5-1-codex-mini,aihubmix,gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
39,gpt-5-1-codex-mini,github-copilot,gpt-5.1-codex-mini,83.6,,,0.0,0.0,1,rate_limited,83.6
40,gpt-5-1-codex-mini,requesty,openai/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
41,gpt-5-1-codex-mini,helicone,gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
42,gpt-5-1-codex-mini,vercel,openai/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
43,gpt-5-1-codex-mini,jiekou,gpt-5.1-codex-mini,83.6,,,2.2500000000000002e-07,1.8000000000000001e-06,0,,83.6
44,gpt-5-1-codex-mini,kilo,openai/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
45,gpt-5-1-codex-mini,nano-gpt,openai/gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
46,gpt-5-1-codex-mini,azure,gpt-5.1-codex-mini,83.6,,,2.5e-07,2e-06,0,,83.6
47,grok-4-fast-reasoning,xai,xai/grok-4-fast-reasoning,83.19999999999999,,,2e-07,5e-07,0,,83.19999999999999
48,grok-4-fast-reasoning,poe,xai/grok-4-fast-reasoning,83.19999999999999,,,2.0000000000000002e-07,5e-07,0,,83.19999999999999
49,grok-4-fast-reasoning,azure-cognitive-services,grok-4-fast-reasoning,83.19999999999999,,,2.0000000000000002e-07,5e-07,0,,83.19999999999999
50,grok-4-fast-reasoning,302ai,grok-4-fast-reasoning,83.19999999999999,,,2.0000000000000002e-07,5e-07,0,,83.19999999999999
51,grok-4-fast-reasoning,helicone,grok-4-fast-reasoning,83.19999999999999,,,2e-07,5e-07,0,,83.19999999999999
52,grok-4-fast-reasoning,vercel,xai/grok-4-fast-reasoning,83.19999999999999,,,2.0000000000000002e-07,5e-07,0,,83.19999999999999
53,grok-4-fast-reasoning,jiekou,grok-4-fast-reasoning,83.19999999999999,,,1.8e-07,4.5000000000000003e-07,0,,83.19999999999999
54,grok-4-fast-reasoning,azure,grok-4-fast-reasoning,83.19999999999999,,,2.0000000000000002e-07,5e-07,0,,83.19999999999999
55,grok-4-1-fast-reasoning,xai,xai/grok-4-1-fast-reasoning,82.20000000000003,,,2e-07,5e-07,0,,82.20000000000003
56,grok-4-1-fast-reasoning,poe,xai/grok-4.1-fast-reasoning,82.20000000000003,,,,,,,82.20000000000003
57,grok-4-1-fast-reasoning,302ai,grok-4-1-fast-reasoning,82.20000000000003,,,2.0000000000000002e-07,5e-07,0,,82.20000000000003
58,grok-4-1-fast-reasoning,firmware,grok-4-1-fast-reasoning,82.20000000000003,,,2.0000000000000002e-07,5e-07,0,,82.20000000000003
59,grok-4-1-fast-reasoning,helicone,grok-4-1-fast-reasoning,82.20000000000003,,,2e-07,5e-07,0,,82.20000000000003
60,grok-4-1-fast-reasoning,vercel,xai/grok-4.1-fast-reasoning,82.20000000000003,,,2.0000000000000002e-07,5e-07,0,,82.20000000000003
61,grok-4-1-fast-reasoning,jiekou,grok-4-1-fast-reasoning,82.20000000000003,,,1.8e-07,4.5000000000000003e-07,0,,82.20000000000003
62,gemini-3-flash,opencode,gemini-3-flash,81.88283262698005,,,5e-07,3e-06,0,,81.88283262698005
63,gemini-3-flash,poe,google/gemini-3-flash,81.88283262698005,,,4.0000000000000003e-07,2.4e-06,0,,81.88283262698005
64,gemini-3-flash,vercel,google/gemini-3-flash,81.88283262698005,,,5e-07,3e-06,0,,81.88283262698005
65,grok-4,xai,xai/grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
66,grok-4,poe,xai/grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
67,grok-4,azure-cognitive-services,grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
68,grok-4,requesty,xai/grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
69,grok-4,helicone,grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
70,grok-4,vercel,xai/grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
71,grok-4,azure,grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
72,grok-4,xai,grok-4,81.73156630654313,,,3e-06,1.5e-05,0,,81.73156630654313
73,deepseek-deepseek-v3-1-terminus-thinking,qiniu-ai,deepseek/deepseek-v3.1-terminus-thinking,79.80000000000001,,,,,,,79.80000000000001
74,gemini-3-pro,opencode,gemini-3-pro,79.79591873850133,,,2e-06,1.2e-05,0,,79.79591873850133
75,gemini-3-pro,poe,google/gemini-3-pro,79.79591873850133,,,1.6000000000000001e-06,9.6e-06,0,,79.79591873850133
76,qwen3-235b-a22b-thinking-2507,iflowcn,qwen3-235b-a22b-thinking-2507,78.96242249753382,,,0.0,0.0,1,high,78.96242249753382
77,qwen3-235b-a22b-thinking-2507,qiniu-ai,qwen3-235b-a22b-thinking-2507,78.96242249753382,,,,,,,78.96242249753382
78,qwen3-235b-a22b-thinking-2507,aihubmix,qwen3-235b-a22b-thinking-2507,78.96242249753382,,,2.8e-07,2.8e-06,0,,78.96242249753382
79,qwen3-235b-a22b-thinking-2507,venice,qwen3-235b-a22b-thinking-2507,78.96242249753382,,,4.5000000000000003e-07,3.5e-06,0,,78.96242249753382
80,deepseek-ai-deepseek-v3-2-exp-thinking,nano-gpt,deepseek-ai/deepseek-v3.2-exp-thinking,78.90000000000002,,,2.7999999999999997e-07,4.2000000000000006e-07,0,,78.90000000000002
81,deepseek-v3-2-thinking,302ai,deepseek-v3.2-thinking,78.33463200925227,,,2.9e-07,4.3e-07,0,,78.33463200925227
82,gemini-2-5-pro-preview-06-05,openrouter,google/gemini-2.5-pro-preview-06-05,77.80000000000003,,,1.25e-06,1e-05,0,,77.80000000000003
83,gemini-2-5-pro-preview-06-05,google-vertex,gemini-2.5-pro-preview-06-05,77.80000000000003,,,1.25e-06,1e-05,0,,77.80000000000003
84,gemini-2-5-pro-preview-06-05,google,gemini-2.5-pro-preview-06-05,77.80000000000003,,,1.25e-06,1e-05,0,,77.80000000000003
85,gemini-2-5-pro-preview-06-05,jiekou,gemini-2.5-pro-preview-06-05,77.80000000000003,,,1.125e-06,9e-06,0,,77.80000000000003
86,gemini-2-5-pro-preview-06-05,nano-gpt,gemini-2.5-pro-preview-06-05,77.80000000000003,,,2.5e-06,1e-05,0,,77.80000000000003
87,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
88,claude-sonnet-4-6,openrouter,anthropic/claude-sonnet-4.6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
89,claude-sonnet-4-6,zenmux,anthropic/claude-sonnet-4.6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
90,claude-sonnet-4-6,perplexity-agent,anthropic/claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
91,claude-sonnet-4-6,cloudflare-ai-gateway,anthropic/claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
92,claude-sonnet-4-6,opencode,claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
93,claude-sonnet-4-6,poe,anthropic/claude-sonnet-4.6,77.2738795516267,,,2.6e-06,1.3e-05,0,,77.2738795516267
94,claude-sonnet-4-6,aihubmix,claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
95,claude-sonnet-4-6,abacus,claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
96,claude-sonnet-4-6,github-copilot,claude-sonnet-4.6,77.2738795516267,,,0.0,0.0,1,rate_limited,77.2738795516267
97,claude-sonnet-4-6,venice,claude-sonnet-4-6,77.2738795516267,,,3.6000000000000003e-06,1.8e-05,0,,77.2738795516267
98,claude-sonnet-4-6,firmware,claude-sonnet-4-6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
