rank,model_id,provider_name,provider_model_id,provider_score,avg_tps,avg_ttft_ms,input_cost_per_token,output_cost_per_token,is_free_tier,free_tier_quality,avg_agentic_coding_score
1,qwen3-235b-a22b-thinking-2507,iflowcn,qwen3-235b-a22b-thinking-2507,78.96242249753382,,,0.0,0.0,1,high,78.96242249753382
2,gpt-oss-20b,openrouter,openai/gpt-oss-20b:free,72.63625756508249,,,0.0,0.0,1,high,72.63625756508249
3,gpt-oss-20b,lmstudio,openai/gpt-oss-20b,72.63625756508249,,,0.0,0.0,1,high,72.63625756508249
4,gpt-oss-20b,kilo,openai/gpt-oss-20b:free,72.63625756508249,,,0.0,0.0,1,high,72.63625756508249
5,qwen3-max,iflowcn,qwen3-max,71.78153608934987,,,0.0,0.0,1,high,71.78153608934987
6,nvidia-nemotron-nano-9b-v2,openrouter,nvidia/nemotron-nano-9b-v2:free,70.09999999999998,,,0.0,0.0,1,high,70.09999999999998
7,nvidia-nemotron-nano-9b-v2,kilo,nvidia/nemotron-nano-9b-v2:free,70.09999999999998,,,0.0,0.0,1,high,70.09999999999998
8,minimax-m2,minimax-cn-coding-plan,MiniMax-M2,68.54322463092696,,,0.0,0.0,1,high,68.54322463092696
9,minimax-m2,minimax-coding-plan,MiniMax-M2,68.54322463092696,,,0.0,0.0,1,high,68.54322463092696
10,glm-5,alibaba-coding-plan,glm-5,64.58947221378497,,,0.0,0.0,1,high,64.58947221378497
11,glm-5,alibaba-coding-plan-cn,glm-5,64.58947221378497,,,0.0,0.0,1,high,64.58947221378497
12,glm-5,zhipuai-coding-plan,glm-5,64.58947221378497,,,0.0,0.0,1,high,64.58947221378497
13,glm-5,zai-coding-plan,glm-5,64.58947221378497,,,0.0,0.0,1,high,64.58947221378497
14,kimi-k2-5,alibaba-coding-plan,kimi-k2.5,64.49477924655716,,,0.0,0.0,1,high,64.49477924655716
15,kimi-k2-5,alibaba-coding-plan-cn,kimi-k2.5,64.49477924655716,,,0.0,0.0,1,high,64.49477924655716
16,minimax-m2-5,alibaba-coding-plan,MiniMax-M2.5,64.11920814420687,,,0.0,0.0,1,high,64.11920814420687
17,minimax-m2-5,minimax-cn-coding-plan,MiniMax-M2.5,64.11920814420687,,,0.0,0.0,1,high,64.11920814420687
18,minimax-m2-5,alibaba-coding-plan-cn,MiniMax-M2.5,64.11920814420687,,,0.0,0.0,1,high,64.11920814420687
19,minimax-m2-5,minimax-coding-plan,MiniMax-M2.5,64.11920814420687,,,0.0,0.0,1,high,64.11920814420687
20,kimi-k2-0905,iflowcn,kimi-k2-0905,61.00000000000001,,,0.0,0.0,1,high,61.00000000000001
21,kimi-k2-thinking,kimi-for-coding,kimi-k2-thinking,60.307765792463826,,,0.0,0.0,1,high,60.307765792463826
22,deepseek-v3-2,iflowcn,deepseek-v3.2,60.13071886114806,,,0.0,0.0,1,high,60.13071886114806
23,qwen3-coder-30b-a3b,privatemode-ai,qwen3-coder-30b-a3b,58.50000000000001,,,0.0,0.0,1,high,58.50000000000001
24,minimax-m2-1,minimax-cn-coding-plan,MiniMax-M2.1,58.467699123180196,,,0.0,0.0,1,high,58.467699123180196
25,minimax-m2-1,minimax-coding-plan,MiniMax-M2.1,58.467699123180196,,,0.0,0.0,1,high,58.467699123180196
26,glm-4-7,alibaba-coding-plan,glm-4.7,55.88520543174437,,,0.0,0.0,1,high,55.88520543174437
27,glm-4-7,kuae-cloud-coding-plan,GLM-4.7,55.88520543174437,,,0.0,0.0,1,high,55.88520543174437
28,glm-4-7,alibaba-coding-plan-cn,glm-4.7,55.88520543174437,,,0.0,0.0,1,high,55.88520543174437
29,glm-4-7,zhipuai-coding-plan,glm-4.7,55.88520543174437,,,0.0,0.0,1,high,55.88520543174437
30,glm-4-7,zai-coding-plan,glm-4.7,55.88520543174437,,,0.0,0.0,1,high,55.88520543174437
31,glm-4-5-air,zhipuai-coding-plan,glm-4.5-air,53.81732786517024,,,0.0,0.0,1,high,53.81732786517024
32,glm-4-5-air,zai-coding-plan,glm-4.5-air,53.81732786517024,,,0.0,0.0,1,high,53.81732786517024
33,deepseek-r1,iflowcn,deepseek-r1,53.552850249703056,,,0.0,0.0,1,high,53.552850249703056
34,gpt-5-nano,opencode,gpt-5-nano,52.55380321712147,,,0.0,0.0,1,high,52.55380321712147
35,devstral-2512,openrouter,mistralai/devstral-2512:free,51.394298794896486,,,0.0,0.0,1,high,51.394298794896486
