rank,model_id,model_name,avg_reasoning_chat_score,benchmark_coverage,livebench_reasoning,livebench_overall,arena_elo
1,gemini-3-1-pro,Gemini 3.1 Pro Preview,100.00000000000004,1,,,1505.0
2,claude-opus-4-1-thinking,Claude 4.1 Opus Thinking,99.86644674897994,2,,,1503.0
3,gemini-3-pro,Gemini 3 Pro,99.1319038683699,3,,,1492.0
4,claude-opus-4-6,Anthropic: Claude Opus 4.6,98.99835061734994,3,,,1490.0
5,gemini-3-flash,Gemini 3 Flash,97.66281810714975,3,,,1470.0
6,gpt-5-2-chat,OpenAI: GPT-5.2 Chat,97.32893497959972,1,,,1465.0
7,gpt-5-4,OpenAI: GPT-5.4,97.32893497959972,1,,,1465.0
8,gpt-5-1-thinking,GPT 5.1 Thinking,97.26215835408973,1,,,1464.0
9,gpt-5-2,OpenAI: GPT-5.2,97.26215835408973,3,,,1464.0
10,grok-4-1,grok-4.1,97.19538172857973,1,,,1463.0
11,claude-opus-4-5,Anthropic: Claude Opus 4.5,97.12860510306969,3,,,1462.0
12,gemini-2-5-pro,Google: Gemini 2.5 Pro,96.99505185204968,3,,,1460.0
13,baidu-ernie-5-0-thinking-preview,ERNIE 5.0,96.86149860102968,1,,,1458.0
14,glm-5,GLM-5,96.46083884796965,3,,,1452.0
15,qwen3-5-397b-a17b,Qwen3.5 397B A17B,96.39406222245964,1,,,1451.0
16,kimi-k2-5,Kimi K2.5,96.12695572041962,4,,,1447.0
17,claude-sonnet-4-6,Anthropic: Claude Sonnet 4.6,96.06017909490963,2,,,1446.0
18,glm-4-7,GLM-4.7,95.99340246939958,3,,,1445.0
19,gpt-5-image,OpenAI: GPT-5 Image,95.9266258438896,1,,,1444.0
20,qwen3-max,Qwen3-Max,95.8598492183796,2,,,1443.0
21,grok-4,Grok-4,95.79307259286956,2,,,1442.0
22,gpt-5-1,OpenAI: GPT-5.1,95.65951934184955,2,,,1440.0
23,kimi-k2-thinking,kimi-k2-thinking,95.52596609082958,3,,,1438.0
24,qwen3-vl-235b-a22b-instruct,Qwen3 VL 235B A22B Instruct,94.92497646123948,2,,,1429.0
25,mistral-large-3,mistral-large-3:675b,94.85819983572955,1,,,1428.0
26,o3-2025-04-16,o3-2025-04-16,94.5910933336895,1,,,1424.0
27,gemini-3-1-flash-lite,Gemini-3.1-Flash-Lite,94.39076345715942,1,,,1421.0
28,claude-sonnet-4-5,Anthropic: Claude Sonnet 4.5,94.32398683164946,3,,,1420.0
29,meituan-longcat-longcat-flash-chat-fp8,LongCat Flash,94.32398683164946,1,,,1420.0
30,claude-opus-4-1,Anthropic: Claude Opus 4.1,94.25721020613943,1,,,1419.0
31,grok-4-fast,Grok 4 Fast,94.25721020613943,2,,,1419.0
32,deepseek-v3-2,DeepSeek-V3.2-Exp,94.1904335806294,4,,,1418.0
33,deepseek-v3-2-thinking,DeepSeek-V3.2-Thinking,94.1904335806294,2,,,1418.0
34,qwen3-235b-a22b-instruct-2507,Qwen3 235b A22B Instruct 2507,94.1904335806294,3,,,1418.0
35,qwen3-next-80b-a3b-instruct,Qwen3 Next 80B A3B Instruct,94.12365695511939,3,,,1417.0
36,qwen3-235b-a22b-thinking-2507,Qwen3-235B-A22B-Thinking,94.05688032960943,2,,,1416.0
